TimeSinceMark,CurrentStage,AltitudeASL,DownRange,SpeedSurface,SpeedOrbital,Mass,Acceleration,Q,AoA,AoS,AoD,AltitudeTrue,Pitch,GravityLosses,DragLosses,SteeringLosses,DeltaVExpended
140.503161016852,0,875.586316441151,7270.25575641095,4.0202346735405,174.111627817219,0.512100007319532,1.008841968678,8.46203769374077,-175.091359718329,-179.823331961525,175.088231941063,301.655970984827,85.0026519775391,101.265420280724,1028.72009470688,364.000849612612,638.15248164569
140.743161011487,0,874.628157176182,7270.25646450266,3.98409040952181,174.112383555946,0.512100007319532,0.996999248332405,8.25391679258197,-175.127396847534,-179.8234677356,175.124274368398,300.677023985958,85.0645446777344,101.265420280724,1030.81994913368,364.000849612612,638.15248164569
140.983161006123,0,873.668685274292,7270.25806309092,4.00828217280548,174.112692604128,0.512100007319532,1.00199505734197,8.28886746259676,-175.152509241834,-179.823449229371,175.1493710887,299.709965293533,85.0903594970703,101.265420280724,1033.26606219773,364.000849612612,638.15248164569
141.223161000758,0,872.700372147327,7270.26013023958,4.04986008490555,174.111723366943,0.512100007319532,0.996197792112624,8.4424858814289,-175.159761295801,-179.823326505969,175.15659890975,298.74771097796,85.074462890625,101.265420280724,1035.64657325243,364.000849612612,638.15248164569
141.463160995394,0,871.71881522719,7270.26246604995,4.10852303100447,174.110609462888,0.512100007319532,0.991108084815737,8.68739906001742,-175.143982742965,-179.823132336443,175.14081223453,297.78199645324,85.0284606933594,101.265420280724,1037.81545959944,364.000849612612,638.15248164569
141.70316099003,0,870.728956126608,7270.26513586624,4.1360354523207,174.10928163572,0.512100007319532,0.977440267043317,8.81732142685482,-175.117766699005,-179.822985466737,175.114609757122,296.80729516284,84.9794219970703,101.265420280724,1040.12299360819,364.000849612612,638.15248164569
141.943160984665,0,869.727759467345,7270.26773796764,4.18416734384569,174.109372331705,0.512100007319532,0.977665930712575,9.04577963756933,-175.088431231794,-179.82294332247,175.0852940855,295.822080352351,84.9409210205078,101.265420280724,1042.63786220031,364.000849612612,638.15248164569
142.183160979301,0,868.730406182713,7270.269430139,4.12684572390046,174.108408479767,0.512100007319532,0.999458713259513,8.98483930689238,-175.07741802173,-179.823029454695,175.074303904771,294.828352296726,84.937744140625,101.265420280724,1045.2471829016,364.000849612612,638.15248164569
142.423160973936,0,867.759892543335,7270.27010218714,4.0001259854785,174.107562750801,0.512100007319532,1.01646031896736,8.4923451586181,-175.090978526288,-179.823111551244,175.087872629203,293.835910765191,84.9825653076172,101.265420280724,1047.66270619968,364.000849612612,638.15248164569
142.663160968572,0,866.820975877135,7270.27052288516,3.87544802662301,174.107195876016,0.512100007319532,1.00145461910709,7.93077806453229,-175.123569250986,-179.823142485779,175.120433757341,292.85670615652,85.0527313232422,101.265420280724,1049.92694985107,364.000849612612,638.15248164569
142.903160963207,0,865.891272905399,7270.27155462984,3.89251391274026,174.108618763844,0.512100007319532,0.989001183276088,7.76851470335861,-175.149765908706,-179.823153044507,175.146619415832,291.899150602197,85.0979553222656,101.265420280724,1052.00382324528,364.000849612612,638.15248164569
143.143160957843,0,864.944294067076,7270.27364277547,3.96788170950036,174.108650899532,0.512100007319532,1.00645831473412,8.09341865752836,-175.158204637346,-179.823227036272,175.155026117414,290.956190834779,85.0873077392578,101.265420280724,1054.50693895838,364.000849612612,638.15248164569
143.383160952479,0,863.98638208143,7270.27592327573,3.99817439885342,174.106731014234,0.512100007319532,1.01739944961059,8.28123799369464,-175.150420238421,-179.823246168649,175.147260486485,290.014656483838,85.0453094482422,101.265420280724,1056.99221099038,364.000849612612,638.15248164569
143.623160947114,0,863.028256881051,7270.27791735634,3.98536565587418,174.104607717217,0.512100007319532,0.992943062873816,8.283172440228,-175.131496006709,-179.823136532636,175.128361398128,289.065375049161,85.0032501220703,101.265420280724,1059.23321456551,364.000849612612,638.15248164569
143.86316094175,0,862.072560853534,7270.28002385658,3.98645392695687,174.103943675148,0.512100007319532,0.971972018178899,8.23129943936171,-175.110498716388,-179.823000532199,175.107379980595,288.109823703079,84.9765441894531,101.265420280724,1061.42923210815,364.000849612612,638.15248164569
144.103160936385,0,861.112851544691,7270.28213930629,4.00224694173613,174.104293107907,0.512100007319532,0.984441177747914,8.31351629564521,-175.093859353044,-179.822951237187,175.090733723086,287.152178096422,84.9643341064453,101.265420280724,1064.00812814104,364.000849612612,638.15248164569
144.343160931021,0,860.154521209945,7270.2835247585,3.98373961895696,174.104453963775,0.512100007319532,1.00252151141791,8.29297403041421,-175.08954781806,-179.82301301647,175.086420360054,286.194308861529,84.9723327636719,101.265420280724,1066.47800016139,364.000849612612,638.15248164569
144.583160925657,0,859.210821950179,7270.28435046285,3.89831365466709,174.103708343729,0.512100007319532,1.01417809179654,8.04162946606949,-175.102724142513,-179.82307880847,175.099586394547,285.23848333072,85.0053070068359,101.265420280724,1068.83144283984,364.000849612612,638.15248164569
144.823160920292,0,858.284020226914,7270.2852701538,3.86029240371253,174.104154761137,0.512100007319532,0.985401619885485,7.72531156561382,-175.122558358747,-179.823075666029,175.119415320664,284.290461991486,85.047314453125,101.265420280724,1070.93605347336,364.000849612612,638.15248164569
145.063160914928,0,857.343661971041,7270.28700858324,3.9545447945849,174.105965872952,0.512100007319532,0.971692394709206,7.97328050166274,-175.128557086645,-179.823061218366,175.125425373407,283.350331049755,85.0542144775391,101.265420280724,1073.13497438121,364.000849612612,638.15248164569
145.303160909563,0,856.372938918637,7270.28952173145,4.09192545469232,174.106941768686,0.512100007319532,0.982089398467131,8.50703887103803,-175.116558926754,-179.82310211982,175.113433833924,282.40867856896,85.0178497314453,101.265420280724,1075.43536844007,364.000849612612,638.15248164569
145.543160904199,0,855.376366737019,7270.29212691926,4.16870063422248,174.106190067885,0.512100007319532,0.994223705280573,8.98701691264317,-175.09494037673,-179.82316781332,175.091856053858,281.45117974913,84.9657562255859,101.265420280724,1077.99248980418,364.000849612612,638.15248164569
145.783160898834,0,854.379477207805,7270.29406949962,4.14235711634834,174.104629852984,0.512100007319532,0.978287604354119,8.96965989859749,-175.080878900342,-179.823136937048,175.077783730003,280.47290005106,84.9417388916016,101.265420280724,1080.32030349941,364.000849612612,638.15248164569
